,Age,Condition,Date,Drug,DrugId,EaseofUse,Effectiveness,Reviews,Satisfaction,Sex,Sides,UsefulCount
148610,45-54,Migraine Headache,5/11/2016,sumatriptan succinate,7741,3,3,Generic sumatriptan is great if you can find the Aurobindo brand. Almost every pharmacy in my city has switched to the Dr Reddy brand and Dr Reddy brand does not work at all. I seriously do not think there is any sumatriptan in the Dr. Reddy brand and they must have offered all the pharmacies a lower price than Aurobindo because everyone is suddenly only selling Dr Reddy brand. I would pay more for Aurobindo if I can ever find it again.,3, ,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",6
148611,55-64,Migraine Headache,4/25/2016,sumatriptan succinate,7741,5,5,"I usually take a 1/4 of a 100 mg pill, and it will work within 20-30 minutes.  This has been the best pain relief I have ever had.  I don't usually need to repeat the dosage if I take it fairly quickly after the onset of the migraine.  Excellent medication.",5, ,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",3
148612,45-54,Migraine Headache,4/24/2016,sumatriptan succinate,7741,5,5,"Have suffered from monthly migraines for over 10 years.  Horrible pain and this med actually works!  Although, considerably sleepy and need to take as soon as I feel one coming on.",4,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",1
148613,35-44,Migraine Headache,3/23/2016,sumatriptan succinate,7741,4,4,"This medication definitely works on my headache.  The side effects that I experience include; extreme fatigue, runny nose, hot flashes,and trouble concentrating.  I still like it better than having the migraine.  I only take a half a pill.  ",4,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",1
148614,35-44,Migraine Headache,2/22/2016,sumatriptan succinate,7741,5,5,"When it starts to work, my migraine gets worse before it gets better, usually within the hour of taking it, then the side affects start.  The nerves in my body tingle for about 2-3 hours - my throat may or may not swell a little bit for awhile, but overall, but I'm good after 1-2 hours.  It's definately better than having a migraine.",4, ,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",1
148615,45-54,Migraine Headache,12/19/2015,sumatriptan succinate,7741,5,5,"This absolutely got rid of my headaches.  The reason I give it a 3-star satisfaction rating is because of the resulting side effects (for me anyway). My migraines hit in the middle of the night, so when I take this med it's usually a couple hours before I get up for the day. When drinking my morning coffee, it feels like it's scalding as it goes down my throat (and believe me- my morning joe is almost like a milkshake with the amount of cream I add- it's not straight black).  My skin also feels ultra-sensitive- almost like I have a mild sunburn. But again- this is just my experience.  At least my head doesn't hurt!",3, ,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",3
148616,19-24,Migraine Headache,12/17/2015,sumatriptan succinate,7741,5,4,Works very strangely as it makes all my aura symptoms come at once which is horrible for about 10 minutes but after that I'm totally fine although really drowsy so still need to sleep all day. Still get migraine hangovers so feel off for a few days. Overall it's a million times better than other medication I've tried ,3,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",3
148617,45-54,Migraine Headache,10/24/2015,sumatriptan succinate,7741,5,5,"I have been getting Cluster Headaches for over 25 years. When I am in a cluster I get at least 3 headaches a day for around 4 weeks. Headaches last 1hour to 24 hours. This is the only medication that gives me any relief. 100 mg Works within 15 to 30 minutes with no noticeable side effects.I'm not sure what the dangers are for taking more than 400 mg a week as indicated on the limitations, but in the moment I don't care. So far I have taken 700 mg this week and expect more coming. I have searched for info on dangers of taking too much but found nothing. Suppose I need to contact the pharmacy.",4,Male,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",7
148618,19-24,Migraine Headache,8/28/2015,sumatriptan succinate,7741,5,5,It definitely works for me but it makes me so dizzy and slow and I almost feel like a zombie. If I can lay in a dark room and sleep it off I feel that it works best.,2,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",0
148619,25-34,Migraine Headache,8/13/2015,sumatriptan succinate,7741,3,3,"This is the only rx medication I've tried so far. I get migraines every 4-5 days that last about 24 hrs. Initially I thought this was a wonder drug, I could finally get some relief and feel like a normal person. However, a few months in I realized about 20-24 hours after taking the pill I was getting a rebound migraine. This began a vicious cycle. Only allowed 10 pills a month and having to take one immediately at onset to turn around and have another the next day just didn't work. I would end up running out 2 weeks into the month and being miserable until I could get more. On to the next one!",1,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",7
148620,45-54,Migraine Headache,8/11/2015,sumatriptan succinate,7741,5,5,"I used to suffer days, waking up and going to sleep with migraines until my doctor decided to try this on me. I am able to function and not have to take off work because of it any longer. Now I just have to get my insurance to realize I need these and they should be paying their part. Why have insurance coverage if you can't get what you need!",5,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",2
148621,19-24,Migraine Headache,8/2/2015,sumatriptan succinate,7741,1,1,"It makes my headaches worse, and the side effects are scary! My chest feels tights, my neck becomes stiff, and my head throbs worse than it did before I went to take it. ",1,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",6
148622,25-34,Migraine Headache,6/18/2015,sumatriptan succinate,7741,3,1,"medicine has not been working for me, I suffer with migraine headaches everyday, i go to bed with them and i wake up with them. i cant stand light, heat, sound, and being around talking or lots of people suck. With insurance only allowing 9 pills I dont see how I can even really see if this medicine will work",1,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",4
148623,25-34,Migraine Headache,6/17/2015,sumatriptan succinate,7741,4,1,Does not work for me I hate being a guinea pig for meds but am willing to try everything until something relieves my migraines,1,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",4
148624,25-34,Migraine Headache,6/8/2015,sumatriptan succinate,7741,5,4,this medication has allowed me to actually be able to function (for the most part) when one strikes. does not alleviate all symptoms but is far better than a trip to the ER!!!  ,4,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",3
148625,45-54,Migraine Headache,5/11/2015,sumatriptan succinate,7741,1,2,Side effects are worse than the actual migraine.  ,1,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",6
148626,45-54,Migraine Headache,4/4/2015,sumatriptan succinate,7741,5,4,"I been taking sumatriptans for 30 years, this has always worked for me, i agree that the insurance companies should give more than 9 pills a month.",5,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",8
148627,45-54,Migraine Headache,3/20/2015,sumatriptan succinate,7741,4,1,I have massive migraines just about every day and this medicine has not helped in relieving or easing my headaches,1,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",2
148628,45-54,Migraine Headache,3/18/2015,sumatriptan succinate,7741,4,2,"This is the worst brand of sumatripan I have ever taken. Lowers the pain, but does not get rid of the pain. ",1,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",2
148629,55-64,Migraine Headache,2/27/2015,sumatriptan succinate,7741,5,4,Sumatriptan allows me to continue on with my day after a migraine hits. It's the best migraine med  I've ever tried. I get up to 2 migraines with aura a week and now i can actually function after one starts.  Yey!,5,Male,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",2
148630,55-64,Migraine Headache,2/4/2015,sumatriptan succinate,7741,4,5,"I have had similar issues like others, my insurance won't allow me to get enough medication each month to cover all of my migraine headaches. This problem really needs to be remedied.",4,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",3
148631,35-44,Migraine Headache,10/28/2014,sumatriptan succinate,7741,5,4,"Reduced the headache to an acceptable level. It made me feel little tired (not too bad though). I also become very sensetive to heat, I feel my hands burning just washing them in warm water. For those who get migraines, warm hands and little tiredness are nothing compared to the headache.",4,Male,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",1
148632,25-34,Migraine Headache,9/19/2014,sumatriptan succinate,7741,4,4,"This is not a miracle drug but after 11 years of migraines I came across it and it helps a lot. I rely largely on diet, exercise, moderation, acupuncture, herbs and other natural remedies, but sumatriptan is a great drug and my life is better for it. ",4,Male,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",2
148633,65-74,Migraine Headache,7/17/2014,sumatriptan succinate,7741,5,5,"The treatment for my cluster migraines has been very effective.  I had not had them for 4 years and this medication is far better than the last one I had.  The problem is that the pharmacy insurance (CareMark/CVS) would not refill my prescription as 9 tablets were supposed to last for 30 days. (? not)  I spent the morning on the telephone to CareMark customer service and the very nice yet uninformed lady agreed to a refill without paying $154 for 9 tablets.  In future, she said that any refills must have prior authorization.  My doctor's office was very agreeable to that and said that when I get down to 6 tablets to give them a call and they would take care of it…..time will tell on that part.  I will make quite sure to call on a Monday so that everyone has the allotted 24-72 hours to  manifest the operation!  Quelle merde.  Times have changed since I was a child and my parents knew all of the doctors who would drop anything (including a cocktail) to make a house call or a pharmacy call.  After I was married it was the cold cruel world no longer insulated by my magic doctors.  It continues to be annoying.  I have a very accommodating doctor (one of my prerequisites) and I am preservering to obtain the same from my insurer.
Incidentally I too have fibromyalgia.  Migraines and fibro are related through the mutual symptoms, imbalance, nerve pain etcetera.

",5,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",6
148634,55-64,Migraine Headache,4/23/2014,sumatriptan succinate,7741,5,5,relieves nerve pain for migraine and fibromyalgia.,5,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",3
148635,55-64,Migraine Headache,4/10/2014,sumatriptan succinate,7741,5,5,Works great but my insurance company (United Healthcare) thinks they are the perscribing physican and will only give me 4 pills a month.  I have more than 4 migraines a month. I have to sometimes cut them in half.,5,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",5
148636,55-64,Migraine Headache,3/7/2014,sumatriptan succinate,7741,5,5,I have been taking this drug (50 mg) to treat migraine for about 3 years now.  Within 2 hours of taking a pill I have my life back and the migraine has completely gone.  I call it my 'miracle pill' and have had no side effects whatsoever.,5,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",2
148637,55-64,Migraine Headache,1/7/2014,sumatriptan succinate,7741,3,1,I would take this at the first sign of a migraine and every time I ended up with a worse headache than prior.I do not think this works for me.,1,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",4
148638,45-54,Migraine Headache,12/2/2013,sumatriptan succinate,7741,5,5,Does the job! But now I am going to doc to see if it is causing my heart palpitations.,5,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",0
148639,55-64,Migraine Headache,11/20/2013,sumatriptan succinate,7741,4,4, ,4,Male,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",0
148641,45-54,Migraine Headache,11/15/2013,sumatriptan succinate,7741,5,4,I have been on this medication for 7 months because my regular meds became too expensive. Takes between 1 to 2 hours to take the migraine away. My regular migraine medication only took 15 minutes to work. I get light headed for about 30 minutes but it works. Better than nothing at all. The pill quantity each month will depend on which insurance carrier you have. I am only allowed 18 pills per month.,3,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",0
148642,19-24,Migraine Headache,10/28/2013,sumatriptan succinate,7741,5,3,have been given this in 100mg dosage (2x50mg) to help stop my constant migrines after severe hemiplegic migraine several months ago they seem to take the edge off for 2-4 hours then usualy i will need to take another dosage .so overal i think they are not very good at all will b asking specailist for somthing else asap.,2,Male,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",1
148646,25-34,Migraine Headache,10/14/2013,sumatriptan succinate,7741,5,5,"Makes my migraines go away. Also, makes me very sleepy. ",5,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",0
148647,35-44,Migraine Headache,10/12/2013,sumatriptan succinate,7741,2,4,100 Mg tablets can only. take 1/2. get the. benefits but when I take it whole. I feel dizzy/ sick/exhausted/ heaviness in my chest. only use as last result asking Dr soon fir lower dose.,2,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",0
148651,55-64,Migraine Headache,10/4/2013,sumatriptan succinate,7741,5,5, ,5,Male,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",0
148657,45-54,Migraine Headache,9/16/2013,sumatriptan succinate,7741,5,3,"I have been experiencing twitching, shaking of my legs, slight hearing loss, food does not taste good, feels like I can throw up, itching of the nose and skin.",3,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",2
148658,65-74,Migraine Headache,8/10/2013,sumatriptan succinate,7741,5,5,I suffered many years with sinus migraine. Ten years ago the specialist ENT prescribed this drug. One hour after taking it the migraine is gone.  The only side effect is my throat and finger tips are very sensitive to heat for about four hours.  Fine..I just drink cooler drinks and keep my hands our of very hot water! Miracle pills.,5,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",7
148662,25-34,Migraine Headache,8/7/2013,sumatriptan succinate,7741,2,5,"I have been suffering from migraine headaches since I was about 18 (I'm 30 now). This is the first time where I've taken a medication that made me feel worse after taking than before. My prescription is for 100mg, and about 20-30 minutes after taking a pill, I become incredibly dizzy. I usually have to lie down until the world stops spinning. I become nauseous and my body is achy. On the bright side, this is the only medication I've ever taken that has ZAPPED my migraine every time. It takes about an hour or so after taking a dose, and then poof! My migraine is gone. I use this as a last resort, though, because I do not like the way I feel for that hour between taking the pill and when the migraine goes away. If I know I can take a nap while the pill works its magic, then I take it. If I'm stuck at work, however, I try to use some other form of treatment. Overall I'm happy with this medication, but I wish I didn't feel so dizzy and naseous after taking it. ",3,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",3
148666,55-64,Migraine Headache,8/6/2013,sumatriptan succinate,7741,5,5,I have had migranes for 40+ years.  Was taking Maxalt but switched to this one due to the cost of Maxalt.  Relieved my migrance... but am only allowed 9 pills per month. Maxalt I was allowed 12.  Why the pill restriction?,5,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",1
